verbo;tipo;processo_formativo_process;processo_formativo_schema;processo_formativo_pattern;processo_formativo_pattern_semispec;processo_formativo_vsupp;cluster;sinonimia;x;y
fare scuola;analitico;;;VN;VN;fare;unknown;no_sinonimi;0.32458627;11.538378
fare una scuola;analitico;;;VDetN;V det_def N;fare;unknown;no_sinonimi;0.2091058;11.329581
essere sede;analitico;;;VN;VN;essere;unknown;no_sinonimi;2.4810097;11.919794
andare a segno;analitico;;;VPrepN;V a N;andare;unknown;ha_sinonimi;0.24179271;8.263533
essere segno;analitico;;;VN;VN;essere;unknown;ha_sinonimi;3.061338;9.316557
mandare a segno;analitico;;;VPrepN;V a N;mandare;unknown;ha_sinonimi;0.21254441;8.245851
mettere a segno;analitico;;;VPrepN;V a N;mettere;unknown;ha_sinonimi;0.22061646;8.239075
mettere un segno;analitico;;;VDetN;V det_indef N;mettere;unknown;no_sinonimi;1.2237484;10.370544
avere seguito;analitico;;;VN;VN;avere;unknown;no_sinonimi;1.6807866;8.461448
fare sensazione;analitico;;;VN;VN;fare;unknown;no_sinonimi;3.696702;11.103384
mettere in serie;analitico;;;VPrepN;V in N;mettere;unknown;no_sinonimi;1.3241307;7.8774767
essere a servizio;analitico;;;VPrepN;V a N;essere;unknown;no_sinonimi;1.7296225;12.723871
fare il servizio;analitico;;;VDetN;V det_def N;fare;unknown;no_sinonimi;1.6805288;12.572262
mettere a servizio;analitico;;;VPrepN;V a N;mettere;unknown;no_sinonimi;1.7967567;12.684703
mettere in servizio;analitico;;;VPrepN;V in N;mettere;unknown;no_sinonimi;1.3050545;7.945224
prendere a servizio;analitico;;;VPrepN;V a N;prendere;unknown;no_sinonimi;1.7945266;12.686632
prendere in servizio;analitico;;;VPrepN;V in N;prendere;unknown;no_sinonimi;1.2316445;7.950662
prendere servizio;analitico;;;VN;-;prendere;unknown;no_sinonimi;1.9014584;12.645962
fare da servo;analitico;;;VPrepN;V da N;fare;unknown;no_sinonimi;1.389053;13.377423
fare il servo;analitico;;;VDetN;V det_def N;fare;unknown;no_sinonimi;1.1718198;12.454106
mettere sotto sforzo;analitico;;;VPrepN;V sotto N;mettere;unknown;no_sinonimi;2.9926858;7.611573
avere il sguardo;analitico;;;VDetN;V det_def N;avere;unknown;no_sinonimi;0.8745923;11.4659
fare il sguardo;analitico;;;VDetN;V det_def N;fare;unknown;no_sinonimi;0.6879643;11.697957
dare una sicurezza;analitico;;;VDetN;V det_indef N;dare;unknown;no_sinonimi;1.3745403;10.58138
mettere in sicurezza;analitico;;;VPrepN;V in N;mettere;unknown;no_sinonimi;1.4031128;8.965146
essere signore;analitico;;;VN;VN;essere;unknown;ha_sinonimi;0.7008465;13.071079
fare il signore;analitico;;;VDetN;V det_def N;fare;unknown;no_sinonimi;0.910538;12.540739
fare silenzio;analitico;;;VN;VN;fare;unknown;no_sinonimi;0.68654346;11.734139
mettere sotto silenzio;analitico;;;VPrepN;V sotto N;mettere;unknown;ha_sinonimi;3.0021927;7.5799823
avere in simpatia;analitico;;;VPrepN;V in N;avere;unknown;ha_sinonimi;0.49066037;9.789478
prendere in simpatia;analitico;;;VPrepN;V in N;prendere;unknown;no_sinonimi;0.4914372;9.826367
essere sindaco;analitico;;;VN;VN;essere;unknown;no_sinonimi;1.7665956;12.504324
fare il sindaco;analitico;;;VDetN;V det_def N;fare;unknown;no_sinonimi;1.5876831;12.507572
fare sistema;analitico;;;VN;VN;fare;unknown;no_sinonimi;2.7679267;10.38427
mettere a sistema;analitico;;;VPrepN;V a N;mettere;unknown;no_sinonimi;2.1472292;9.493304
fare società;analitico;;;VN;VN;fare;unknown;no_sinonimi;0.7706576;11.184989
fare una società;analitico;;;VDetN;V det_indef N;fare;unknown;no_sinonimi;0.362677;11.192031
mettere in società;analitico;;;VPrepN;V in N;mettere;unknown;no_sinonimi;1.0556011;9.379087
essere in sofferenza;analitico;;;VPrepN;V in N;essere;unknown;no_sinonimi;0.6228206;8.792123
fare il soldato;analitico;;;VDetN;V det_def N;fare;unknown;no_sinonimi;0.53514844;12.11979
fare il soldo;analitico;;;VDetN;V det_def N;fare;unknown;no_sinonimi;0.34098652;11.877864
prendere il sole;analitico;;;VDetN;V det_def N;prendere;unknown;no_sinonimi;0.09637507;11.623884
avere un sonno;analitico;;;VDetN;V det_indef N;avere;unknown;no_sinonimi;0.95353186;11.16503
prendere sonno;analitico;;;VN;-;prendere;unknown;no_sinonimi;1.0896109;10.294762
essere sorella;analitico;;;VN;VN;essere;unknown;no_sinonimi;0.24096261;13.442709
fare una sorpresa;analitico;;;VDetN;V det_indef N;fare;unknown;no_sinonimi;0.19303338;11.168569
avere un sorriso;analitico;;;VDetN;V det_indef N;avere;unknown;no_sinonimi;0.9365283;11.201625
fare un sorriso;analitico;;;VDetN;V det_indef N;fare;unknown;no_sinonimi;0.7981374;11.464232
avere in sorte;analitico;;;VPrepN;V in N;avere;unknown;no_sinonimi;0.5031537;9.429537
dare sostanza;analitico;;;VN;VN;dare;unknown;ha_sinonimi;3.2623549;10.242172
fare da spalla;analitico;;;VPrepN;V da N;fare;unknown;ha_sinonimi;1.3078048;13.480018
avere spazio;analitico;;;VN;VN;avere;unknown;no_sinonimi;2.86367;10.624461
fare spazio;analitico;;;VN;VN;fare;unknown;no_sinonimi;3.1032157;10.753272
fare da specchio;analitico;;;VPrepN;V da N;fare;unknown;no_sinonimi;1.3180604;13.465305
fare una spesa;analitico;;;VDetN;V det_indef N;fare;unknown;no_sinonimi;0.2912766;11.161802
fare da spia;analitico;;;VPrepN;V da N;fare;unknown;no_sinonimi;1.3409898;13.4646015
avere una spiegazione;analitico;;;VDetN;V det_indef N;avere;unknown;no_sinonimi;2.7280865;10.093529
fare sport;analitico;;;VN;VN;fare;unknown;no_sinonimi;0.2109227;12.450649
andare sposa;analitico;;;VN;VN;andare;unknown;ha_sinonimi;0.102076486;13.321967
fare squadra;analitico;;;VN;VN;fare;unknown;no_sinonimi;0.8203424;11.592504
andare in stampa;analitico;;;VPrepN;V in N;andare;unknown;no_sinonimi;1.1519494;7.704858
essere in stampa;analitico;;;VPrepN;V in N;essere;unknown;no_sinonimi;1.1593821;7.734595
mandare in stampa;analitico;;;VPrepN;V in N;mandare;unknown;no_sinonimi;1.204516;7.6713185
dare una stella;analitico;;;VDetN;V det_def N;dare;unknown;no_sinonimi;0.42332184;11.213445
fare storia;analitico;;;VN;VN;fare;unknown;no_sinonimi;2.3138776;11.110969
essere storico;analitico;;;VN;VN;essere;unknown;no_sinonimi;2.5472996;11.114843
fare il storico;analitico;;;VDetN;V det_def N;fare;unknown;no_sinonimi;1.216171;12.020594
fare strada;analitico;;;VN;VN;fare;unknown;no_sinonimi;1.3452935;9.280571
mettere su strada;analitico;;;VPrepN;V su N;mettere;unknown;no_sinonimi;1.4004;9.261695
essere studente;analitico;;;VN;VN;essere;unknown;no_sinonimi;1.5306001;12.472635
fare il stupido;analitico;;;VDetN;V det_def N;fare;unknown;no_sinonimi;0.5518162;12.007456
essere di successo;analitico;;;VPrepN;V di N;essere;unknown;no_sinonimi;2.210421;8.566946
fare un suono;analitico;;;VDetN;V det_indef N;fare;unknown;no_sinonimi;1.0021118;11.438925
essere in sviluppo;analitico;;;VPrepN;V in N;essere;unknown;no_sinonimi;1.3050185;7.680675
mettere in sviluppo;analitico;;;VPrepN;V in N;mettere;unknown;no_sinonimi;1.362303;7.717987
mettere in tasca;analitico;;;VPrepN;V in N;mettere;unknown;ha_sinonimi;1.0104469;9.674817
mettere una tassa;analitico;;;VDetN;V det_indef N;mettere;unknown;ha_sinonimi;1.0906345;10.362056
essere a tavola;analitico;;;VPrepN;V a N;essere;unknown;no_sinonimi;-0.2521297;10.810797
andare a teatro;analitico;;;VPrepN;V a N;andare;unknown;no_sinonimi;-0.3411992;10.978029
fare teatro;analitico;;;VN;VN;fare;unknown;no_sinonimi;0.14482124;12.070191
avere tempo;analitico;;;VN;VN;avere;unknown;no_sinonimi;1.9891864;10.483919
dare tempo;analitico;;;VN;VN;dare;unknown;no_sinonimi;1.9734418;10.475837
essere in tempo;analitico;;;VPrepN;V in N;essere;unknown;no_sinonimi;2.200781;10.143449
prendere tempo;analitico;;;VN;-;prendere;unknown;ha_sinonimi;1.9914852;10.483181
