group;nome;noun.artifact;noun.cognition;noun.act;noun.state;noun.communication;noun.relation;noun.attribute;noun.substance;noun.food;noun.object;noun.phenomenon;noun.possession;noun.group;noun.feeling;noun.person;noun.time;noun.animal;noun.event;noun.plant;noun.location;noun.shape;noun.body;noun.process;noun.quantity;noun.motive;distance_to_cluster;ID;Dim 1;Dim 2;Dim 3;Dim 4;Dim 5;cluster;Dim 1_centro;Dim 2_centro;Dim 3_centro;Dim 4_centro;Dim 5_centro
Analitico;difesa;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.354545650601329;179;0.0173232420110967;0.0212166577062264;-0.135673082914838;-0.267615734734825;0.0861817714187743;1;-0.196852617172649;-0.000929919372101417;-0.021608469145203;-0.015341527925229;0.0343374150131737
Analitico;difetto;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.33610907696353;180;-0.249478780763921;-0.0587587162737054;0.192865935778302;0.221620479535803;-0.0342582512099935;1;-0.196852617172649;-0.000929919372101417;-0.021608469145203;-0.015341527925229;0.0343374150131737
Analitico&Sintetico;differenza;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0.224744762047483;181;-0.380875493616214;-0.0167826432554497;-0.0530666220011786;0.105602941467807;0.00645731277481155;1;-0.196852617172649;-0.000929919372101417;-0.021608469145203;-0.015341527925229;0.0343374150131737
Analitico;difficoltà ;0;1;1;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.464643944179886;182;-0.578460829846343;0.125337409524437;-0.0701935875894576;0.184555946024479;0.143910288985916;1;-0.196852617172649;-0.000929919372101417;-0.021608469145203;-0.015341527925229;0.0343374150131737
Analitico&Sintetico;dimensione;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.35197277420186;183;-0.186240377562125;-0.0453374550119843;0.0406425776124823;0.319311456626549;0.111359308240714;1;-0.196852617172649;-0.000929919372101417;-0.021608469145203;-0.015341527925229;0.0343374150131737
Sintetico;dio;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0.0453080525331344;184;0.194913878533241;-0.354911562824534;-0.091163418586173;0.0621599657927608;-0.232218234305868;2;0.212096760508186;-0.323002070097114;-0.085150037927765;0.0766500936705198;-0.210009499258541
Analitico;direttore;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0.0453080525331344;185;0.194913878533241;-0.354911562824534;-0.091163418586173;0.0621599657927608;-0.232218234305868;2;0.212096760508186;-0.323002070097114;-0.085150037927765;0.0766500936705198;-0.210009499258541
Analitico&Sintetico;direzione;0;1;1;0;1;1;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0.873449017469475;186;-0.332262717989201;0.542336536360902;-0.677606352218669;0.0529371362628223;0.154519153269737;1;-0.196852617172649;-0.000929919372101417;-0.021608469145203;-0.015341527925229;0.0343374150131737
Analitico;diritto;1;1;1;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0.438376068320073;187;-0.23600206870728;0.271856362116759;-0.215071811314987;-0.0215911169032164;0.314982066175255;1;-0.196852617172649;-0.000929919372101417;-0.021608469145203;-0.015341527925229;0.0343374150131737
Analitico;disco;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0.538968920388425;188;0.265030126417943;0.449162267009838;-0.182500053153236;0.0746687777496487;-0.319162208733112;3;0.270981596186198;0.196711085241195;0.095148931250677;-0.0151444734554311;0.0570891691292495
Analitico;discorso;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.285173642055355;189;-0.00201828977782886;-0.0866617357725059;-0.209156210735628;-0.041362124165142;0.0215930105915758;1;-0.196852617172649;-0.000929919372101417;-0.021608469145203;-0.015341527925229;0.0343374150131737
Analitico;disegno;1;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.423405964203742;190;-0.165557123892143;0.163251326204928;-0.342294279609238;-0.1286381433604;0.223181819543373;1;-0.196852617172649;-0.000929919372101417;-0.021608469145203;-0.015341527925229;0.0343374150131737
Analitico;disgrazia;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0.43308918329367;191;-0.297605343817241;-0.150286809186542;0.266602886545052;-0.129689711787917;-0.208492475080912;1;-0.196852617172649;-0.000929919372101417;-0.021608469145203;-0.015341527925229;0.0343374150131737
Analitico;disordine;0;0;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.263021387122378;192;-0.395580463943104;-0.0166972589742642;0.136427609104943;0.0455783546500532;0.00691024086131754;1;-0.196852617172649;-0.000929919372101417;-0.021608469145203;-0.015341527925229;0.0343374150131737
Analitico;disposizione;0;0;1;1;1;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0.392216111060759;193;-0.464683686877184;0.192618164675746;-0.192769907643318;-0.0690706083100293;0.14594423796866;1;-0.196852617172649;-0.000929919372101417;-0.021608469145203;-0.015341527925229;0.0343374150131737
